ProductId,Gender,Category,SubCategory,ProductType,Colour,Usage,ProductTitle,Image,ImageURL
29171,Girls,Apparel,Bottomwear,Skirts,Blue,Casual,United Colors of Benetton Kids Girls Washed Blue Skirt,29171.jpg,http://assets.myntassets.com/v1/images/style/properties/552488b55aa1c615f830fd043f570d15_images.jpg
34065,Girls,Apparel,Dress,Dresses,Black,Casual,Gini and Jony Girls Black Dress,34065.jpg,http://assets.myntassets.com/v1/images/style/properties/f7b69b3f5edf05058f33e21ebe87275f_images.jpg
31173,Girls,Apparel,Topwear,Tops,White,Casual,Gini and Jony Girls Printed White Top,31173.jpg,http://assets.myntassets.com/v1/images/style/properties/1a925d00403aaec9fb6aa68e6795bf22_images.jpg
34091,Girls,Apparel,Topwear,Tops,Grey,Casual,Doodle Girls Printed Grey Top,34091.jpg,http://assets.myntassets.com/v1/images/style/properties/139e4ecbd8fc116fd275528d755d55bf_images.jpg
8371,Girls,Apparel,Topwear,Tshirts,Yellow,Casual,Doodle Girl's Dont Worry Hippie Yellow Teen Kidswear,8371.jpg,http://assets.myntassets.com/v1/images/style/properties/7918b015029fad3d8108d7f07a5867e2_images.jpg
39321,Girls,Apparel,Bottomwear,Capris,Blue,Casual,Gini and Jony Girls Blue Capris,39321.jpg,http://assets.myntassets.com/v1/images/style/properties/fc46e80450a58114f02060a2cbbca0aa_images.jpg
41009,Girls,Apparel,Bottomwear,Jeans,Navy Blue,Casual,Gini and Jony Girls Woven Navy Blue Jeans,41009.jpg,http://assets.myntassets.com/v1/images/style/properties/da1db8f5cb461e5eb02172804792e598_images.jpg
8385,Girls,Apparel,Topwear,Tshirts,Orange,Casual,Doodle Girl's Hippie Chic Orange Teen Kidswear,8385.jpg,http://assets.myntassets.com/v1/images/style/properties/68540a8389d1a4a474037492a3e8cf15_images.jpg
37613,Girls,Apparel,Topwear,Tshirts,Purple,Casual,Madagascar3 Girls Purple Printed T-Shirt,37613.jpg,http://assets.myntassets.com/v1/images/style/properties/7f4dd2f3bd1ade35ab96afabf9d55558_images.jpg
31180,Girls,Apparel,Bottomwear,Leggings,White,Casual,Gini and Jony Kids Leggings,31180.jpg,http://assets.myntassets.com/v1/images/style/properties/Gini-and-Jony-Kids-Leggings_35bdb4375745e793689def76857d3950_images.jpg
31174,Girls,Apparel,Topwear,Tops,Red,Casual,Gini and Jony Girls Red Top,31174.jpg,http://assets.myntassets.com/v1/images/style/properties/2b8a45322790bea5db64fc46b8d93f8f_images.jpg
34062,Girls,Apparel,Dress,Dresses,Pink,Casual,Gini and Jony Girls Printed Pink Dress,34062.jpg,http://assets.myntassets.com/v1/images/style/properties/6e4f3854eb7b77188e914ee94bce4758_images.jpg
40128,Girls,Apparel,Topwear,Tops,Orange,Casual,Gini and Jony Girls Roseatte Orange Top,40128.jpg,http://assets.myntassets.com/v1/images/style/properties/90cf8ee58032dbda3bb4f048621eb015_images.jpg
8382,Girls,Apparel,Topwear,Tshirts,Blue,Casual,Doodle Girl's Raw Edges Light Blue Kidswear,8382.jpg,http://assets.myntassets.com/v1/images/style/properties/52f6936ed0d2fa4736209c5a24e26081_images.jpg
39326,Girls,Apparel,Bottomwear,Leggings,Black,Casual,Gini and Jony Girls Black Leggings,39326.jpg,http://assets.myntassets.com/v1/images/style/properties/359391f6a4b560ca2821952c86f2528d_images.jpg
31128,Girls,Apparel,Dress,Dresses,Blue,Casual,Gini and Jony Girls Printed Teal Dress,31128.jpg,http://assets.myntassets.com/v1/images/style/properties/73bdd9b109c5648fb93b144ebc338f94_images.jpg
31117,Girls,Apparel,Topwear,Tops,White,Casual,Gini and Jony Girls White Top,31117.jpg,http://assets.myntassets.com/v1/images/style/properties/63e4f7008a21ad52e8e004ec132987dd_images.jpg
4719,Girls,Apparel,Topwear,Tshirts,White,Casual,Disney Kids Girl's Fun In The Fair White Teen Kidswear,4719.jpg,http://assets.myntassets.com/v1/images/style/properties/e3cf45e69f2094c323a28af4369c903e_images.jpg
38290,Girls,Apparel,Topwear,Tops,Turquoise Blue,Casual,Kids Ville Girls Turquoise Blue Top,38290.jpg,http://assets.myntassets.com/v1/images/style/properties/02012c4736e7a3cae2bab8857fa62b33_images.jpg
36751,Girls,Apparel,Topwear,Tops,White,Casual,Little Miss Girls Blah White Top,36751.jpg,http://assets.myntassets.com/v1/images/style/properties/d3065a1272f7f6f77a002f5a640601d4_images.jpg
34006,Girls,Apparel,Topwear,Tops,Purple,Casual,Gini and Jony Girls Purple Top,34006.jpg,http://assets.myntassets.com/v1/images/style/properties/5c2900e691bb0b900efbb994abaa3051_images.jpg
40946,Girls,Apparel,Topwear,Tops,Navy Blue,Casual,Gini and Jony Girls Nautical Blues Navy Blue Top,40946.jpg,http://assets.myntassets.com/v1/images/style/properties/4fac53e9b5424ee2f2b1654edefcf9f3_images.jpg
31119,Girls,Apparel,Topwear,Tops,Purple,Casual,Gini and Jony Girls Purple Top,31119.jpg,http://assets.myntassets.com/v1/images/style/properties/78697e51fc64e69ef59fec8e4a98bb02_images.jpg
40145,Girls,Apparel,Bottomwear,Capris,Pink,Casual,Gini and Jony Girls Kinky Pink Capris,40145.jpg,http://assets.myntassets.com/v1/images/style/properties/aeaa25e22521dccc8ba43a44b5bdbdb4_images.jpg
23625,Girls,Apparel,Topwear,Tops,Pink,Casual,Doodle Kids Girls Pink Retro Top,23625.jpg,http://assets.myntassets.com/v1/images/style/properties/b222e8d07fb08047514b355c4f0d1659_images.jpg
31126,Girls,Apparel,Dress,Dresses,White,Casual,Gini and Jony Girls White Dress,31126.jpg,http://assets.myntassets.com/v1/images/style/properties/97c4ba68f6dd479533fd38fa8224ebf9_images.jpg
34008,Girls,Apparel,Topwear,Tops,Pink,Casual,Gini and Jony Girls Pink Top,34008.jpg,http://assets.myntassets.com/v1/images/style/properties/bdb2509ab5b31e6e6fde3f1f1e28f5bf_images.jpg
40941,Girls,Apparel,Topwear,Tops,Pink,Casual,Gini and Jony Girls Pretty Pink Top,40941.jpg,http://assets.myntassets.com/v1/images/style/properties/bc025ebc8384d35559c6681c218a8760_images.jpg
42418,Girls,Apparel,Topwear,Tops,White,Casual,Gini and Jony Girls Woven White Top,42418.jpg,http://assets.myntassets.com/v1/images/style/properties/b6aa4b14ce628ef9d3f2f4d981c2f6b9_images.jpg
31121,Girls,Apparel,Topwear,Tops,Black,Casual,Gini and Jony Girls Black Top,31121.jpg,http://assets.myntassets.com/v1/images/style/properties/5d35f521e49a9e78f991111b452d4929_images.jpg
4717,Girls,Apparel,Topwear,Tshirts,Pink,Casual,Disney Kids Girl's Summer Fun Fair Pink Teen Kidswear,4717.jpg,http://assets.myntassets.com/v1/images/style/properties/07f7ac42151631746bc3632870a7bf7c_images.jpg
31175,Girls,Apparel,Topwear,Tops,Magenta,Casual,Gini and Jony Girls Purple Top,31175.jpg,http://assets.myntassets.com/v1/images/style/properties/ae2aa3cbe84c23ad0f1b15b80b4e0f09_images.jpg
34063,Girls,Apparel,Dress,Dresses,Pink,Casual,Gini and Jony Girls Printed Pink Dress,34063.jpg,http://assets.myntassets.com/v1/images/style/properties/1c6f5c73e5094eedd4c405f6d9cb2e53_images.jpg
39743,Girls,Apparel,Topwear,Tops,White,Casual,Gini Jony Girls Printed White Top,39743.jpg,http://assets.myntassets.com/v1/images/style/properties/8fbee590cae7931ee74d175775067100_images.jpg
39327,Girls,Apparel,Bottomwear,Leggings,Green,Casual,Gini and Jony Girls Green Leggings,39327.jpg,http://assets.myntassets.com/v1/images/style/properties/03f85fe2045d6874c29c0818e6f5f57e_images.jpg
8383,Girls,Apparel,Topwear,Tshirts,Blue,Casual,Doodle Girl's Raw Edges Light Blue Teen Kidswear,8383.jpg,http://assets.myntassets.com/v1/images/style/properties/3752756c42f6f2ba5704c4e5c9d36b17_images.jpg
3901,Girls,Apparel,Bottomwear,Skirts,Blue,Casual,Disney Kids Girl's Pooh Denim Blue Skirt,3901.jpg,http://assets.myntassets.com/v1/images/style/properties/2f39ff6586be999bfe60e17d6d50db6a_images.jpg
34064,Girls,Apparel,Dress,Dresses,Blue,Casual,Gini and Jony Girls Printed Teal Dress,34064.jpg,http://assets.myntassets.com/v1/images/style/properties/76fd72ef98204310e06206b9de234cdd_images.jpg
31172,Girls,Apparel,Topwear,Tops,Peach,Casual,Gini and Jony Girls Peach Top,31172.jpg,http://assets.myntassets.com/v1/images/style/properties/da776219c71ecb6a3ba0c2a39d99689b_images.jpg
27225,Girls,Apparel,Dress,Dresses,Pink,Casual,Doodle Girls Printed Pink Dress,27225.jpg,http://assets.myntassets.com/v1/images/style/properties/f5b8cd2374234a263ca6bed01bbc9e9c_images.jpg
8384,Girls,Apparel,Topwear,Tshirts,Orange,Casual,Doodle Girl's Hippie Chic Orange Kidswear,8384.jpg,http://assets.myntassets.com/v1/images/style/properties/243eae8f457007dd9639d4851cc38f10_images.jpg
41008,Girls,Apparel,Bottomwear,Jeans,Navy Blue,Casual,Gini and Jony Girls Woven Navy Blue Jeans,41008.jpg,http://assets.myntassets.com/v1/images/style/properties/953dfcc043c31b66c5b1be3b0778d8d8_images.jpg
39744,Girls,Apparel,Topwear,Tops,White,Casual,Gini Jony Girls Printed White Top,39744.jpg,http://assets.myntassets.com/v1/images/style/properties/72a881c1cb0ea7f12131d1559fbc85a2_images.jpg
43590,Girls,Apparel,Topwear,Tshirts,Blue,Casual,Gini and Jony Girls Polo Striped Blue T-shirt,43590.jpg,http://assets.myntassets.com/v1/images/style/properties/b0637e9def43478657c0a9159d51ad43_images.jpg
40127,Girls,Apparel,Dress,Dresses,Black,Casual,Gini and Jony Girls Roseatte Black Dress,40127.jpg,http://assets.myntassets.com/v1/images/style/properties/9df82c8db87a057d9bf7d90a02f24d7b_images.jpg
8379,Girls,Apparel,Topwear,Tshirts,Green,Casual,Doodle Girl's Princess Lime Green Top,8379.jpg,http://assets.myntassets.com/v1/images/style/properties/946a16f582f37cca07c9e49f64438dec_images.jpg
39329,Girls,Apparel,Bottomwear,Shorts,Green,Casual,Gini and Jony Girls Green Shorts,39329.jpg,http://assets.myntassets.com/v1/images/style/properties/092ffa40994ee79053f16a7e93445890_images.jpg
41001,Girls,Apparel,Bottomwear,Shorts,Blue,Casual,Gini and Jony  Girls Woven Blue Shorts,41001.jpg,http://assets.myntassets.com/v1/images/style/properties/04e0a096190c52c8e67b940bb6caf190_images.jpg
46815,Girls,Apparel,Topwear,Tops,Yellow,Casual,Gini and Jony Girls Yellow Top,46815.jpg,http://assets.myntassets.com/v1/images/style/properties/2ad3ea22b139c15808ad70da68f51ef6_images.jpg
33270,Girls,Apparel,Bottomwear,Skirts,White,Casual,Gini & Jony Girls White Skirt,33270.jpg,http://assets.myntassets.com/v1/images/style/properties/5a8136a2c5a4bbe86c2cf987981d5c29_images.jpg
50722,Girls,Apparel,Dress,Dresses,Pink,Casual,Doodle Girls Pink Printed Dress,50722.jpg,http://assets.myntassets.com/v1/images/style/properties/5aa2891f267718d2ab17591a1f9f449c_images.jpg
41006,Girls,Apparel,Bottomwear,Shorts,Navy Blue,Casual,Gini and Jony Girls Woven Navy Blue Shorts,41006.jpg,http://assets.myntassets.com/v1/images/style/properties/612a4966606770d0657b02429ca82cb1_images.jpg
8465,Girls,Apparel,Topwear,Tshirts,Purple,Casual,Doodle Girls's Princess Purple Teen Top,8465.jpg,http://assets.myntassets.com/v1/images/style/properties/9d2498631ebf7972ec792f4683ad9462_images.jpg
34118,Girls,Apparel,Bottomwear,Shorts,Black,Casual,Doodle Girls Washed Black Shorts,34118.jpg,http://assets.myntassets.com/v1/images/style/properties/54387763114186bb0ae86cacdd85ec4d_images.jpg
37564,Girls,Apparel,Innerwear,Innerwear Vests,Pink,Casual,Madagascar3 Pink Girls Innerwear Vest,37564.jpg,http://assets.myntassets.com/v1/images/style/properties/e8409f479400f77360e2a145e8bad0df_images.jpg
12849,Girls,Apparel,Dress,Dresses,White,Casual,Ant Kids Girls Butterfly Print White Dresses,12849.jpg,http://assets.myntassets.com/v1/images/style/properties/e7c8dbcaeed9fead6def6b01df0d9db6_images.jpg
39852,Girls,Apparel,Topwear,Tops,Blue,Casual,Gini and Jony Girls Printed Blue Top,39852.jpg,http://assets.myntassets.com/v1/images/style/properties/ed49177a146c23c9cd89a119a8f986b8_images.jpg
37590,Girls,Apparel,Innerwear,Innerwear Vests,Pink,Casual,Madagascar Girls Pink Innerwear Vest,37590.jpg,http://assets.myntassets.com/v1/images/style/properties/9e74f65716e10bed59e87fc926b330e4_images.jpg
38342,Girls,Apparel,Topwear,Tops,White,Casual,Mr. Men Little Miss Girls White Top,38342.jpg,http://assets.myntassets.com/v1/images/style/properties/be06f524c657558ce1e79871f64edcb6_images.jpg
36213,Girls,Apparel,Topwear,Tops,Green,Casual,Gini And Jony Girls Striped Green Top,36213.jpg,http://assets.myntassets.com/v1/images/style/properties/81cc4b694585c8887b778e5800790159_images.jpg
37563,Girls,Apparel,Topwear,Rompers,White,Casual,Madagascar3 Infant Boys White Snapsuit Romper,37563.jpg,http://assets.myntassets.com/v1/images/style/properties/6848fc75c01a98d99716e295d8230349_images.jpg
24941,Girls,Apparel,Topwear,Tops,Pink,Casual,United Colors of Benetton Kids Girls Pink Top,24941.jpg,http://assets.myntassets.com/v1/images/style/properties/c1a5e415fd0e4f4945aa965729de43c1_images.jpg
2707,Girls,Apparel,Dress,Dresses,Pink,Casual,Disney Kids Girl's Dress Pink Pooh Kidswear,2707.jpg,http://assets.myntassets.com/v1/images/style/properties/b65078ba0112f107d024a4e3c028c38b_images.jpg
34116,Girls,Apparel,Bottomwear,Capris,Blue,Casual,Doodle Girls Washed Blue Capris,34116.jpg,http://assets.myntassets.com/v1/images/style/properties/1d3a6c99b37c376b3ed37690c76986f6_images.jpg
38945,Girls,Apparel,Topwear,Tops,White,Casual,Gini and Jony Girls Printed White Top,38945.jpg,http://assets.myntassets.com/v1/images/style/properties/8eec0347ac13be340a3a1abb22dd24d5_images.jpg
21868,Girls,Apparel,Topwear,Tops,Pink,Casual,Chhota Bheem Kids Girls Are You Game Pink Top,21868.jpg,http://assets.myntassets.com/v1/images/style/properties/69c7b7315ca4bc665b77aae1e65b6e6f_images.jpg
24946,Girls,Apparel,Topwear,Tops,White,Casual,United Colors of Benetton Kids Girls White Printed Top,24946.jpg,http://assets.myntassets.com/v1/images/style/properties/c9b90676e970aed36ee9ac881b4938ad_images.jpg
27196,Girls,Apparel,Dress,Dresses,Yellow,Casual,Doodle Girls Yellow Dress,27196.jpg,http://assets.myntassets.com/v1/images/style/properties/Doodle-Girls-Yellow-Dress_8deb5a4ffd0f960318c595c64649e65c_images.jpg
34111,Girls,Apparel,Topwear,Tops,Navy Blue,Casual,Doodle Girls Striped Navy Blue Top,34111.jpg,http://assets.myntassets.com/v1/images/style/properties/91bfde5c15c1f69dcbf3877ddc16bf82_images.jpg
